FECHA,CONCEPTO_ID,MONTO,TIPO,CATEGORIA,SUBCATEGORIA,Monto_Original
2024-06-01,101,32000.0,Ingreso,Operativo,SaaS Monthly Subscription,32000.0
2024-06-01,102,15000.0,Ingreso,Operativo,SaaS Enterprise Annual,15000.0
2024-06-01,103,8000.0,Ingreso,No Operativo,Consultoria Especializada,8000.0
2024-06-01,104,450.0,Ingreso,No Operativo,Rendimientos Financieros,450.0
2024-06-01,201,22000.0,Egreso,Operativo,Nomina Core Team,-22000.0
2024-06-01,202,5100.0,Egreso,Operativo,Infraestructura Cloud (AWS/GCP),-5100.0
2024-06-01,203,2400.0,Egreso,Operativo,Herramientas SaaS (Hubspot/Slack),-2400.0
2024-06-01,204,7500.0,Egreso,Marketing,Paid Media (Google/Meta Ads),-7500.0
2024-06-01,205,3000.0,Egreso,Marketing,Agencia & Diseño,-3000.0
2024-06-01,206,1800.0,Egreso,Administrativo,Legal & Contabilidad,-1800.0
2024-06-01,207,1200.0,Egreso,Administrativo,Oficina & Suministros,-1200.0
2024-07-01,101,33500.0,Ingreso,Operativo,SaaS Monthly Subscription,33500.0
2024-07-01,102,15000.0,Ingreso,Operativo,SaaS Enterprise Annual,15000.0
2024-07-01,103,6200.0,Ingreso,No Operativo,Consultoria Especializada,6200.0
2024-07-01,104,480.0,Ingreso,No Operativo,Rendimientos Financieros,480.0
2024-07-01,201,22000.0,Egreso,Operativo,Nomina Core Team,-22000.0
2024-07-01,202,5300.0,Egreso,Operativo,Infraestructura Cloud (AWS/GCP),-5300.0
2024-07-01,203,2450.0,Egreso,Operativo,Herramientas SaaS (Hubspot/Slack),-2450.0
2024-07-01,204,8200.0,Egreso,Marketing,Paid Media (Google/Meta Ads),-8200.0
2024-07-01,205,3000.0,Egreso,Marketing,Agencia & Diseño,-3000.0
2024-07-01,206,1500.0,Egreso,Administrativo,Legal & Contabilidad,-1500.0
2024-07-01,207,1100.0,Egreso,Administrativo,Oficina & Suministros,-1100.0
2024-08-01,101,35100.0,Ingreso,Operativo,SaaS Monthly Subscription,35100.0
2024-08-01,102,15000.0,Ingreso,Operativo,SaaS Enterprise Annual,15000.0
2024-08-01,103,9100.0,Ingreso,No Operativo,Consultoria Especializada,9100.0
2024-08-01,104,510.0,Ingreso,No Operativo,Rendimientos Financieros,510.0
2024-08-01,201,22000.0,Egreso,Operativo,Nomina Core Team,-22000.0
2024-08-01,202,5200.0,Egreso,Operativo,Infraestructura Cloud (AWS/GCP),-5200.0
2024-08-01,203,2450.0,Egreso,Operativo,Herramientas SaaS (Hubspot/Slack),-2450.0
2024-08-01,204,7900.0,Egreso,Marketing,Paid Media (Google/Meta Ads),-7900.0
2024-08-01,205,3000.0,Egreso,Marketing,Agencia & Diseño,-3000.0
2024-08-01,206,1500.0,Egreso,Administrativo,Legal & Contabilidad,-1500.0
2024-08-01,207,1400.0,Egreso,Administrativo,Oficina & Suministros,-1400.0
2024-09-01,101,38000.0,Ingreso,Operativo,SaaS Monthly Subscription,38000.0
2024-09-01,102,22000.0,Ingreso,Operativo,SaaS Enterprise Annual,22000.0
2024-09-01,103,4000.0,Ingreso,No Operativo,Consultoria Especializada,4000.0
2024-09-01,104,550.0,Ingreso,No Operativo,Rendimientos Financieros,550.0
2024-09-01,201,25000.0,Egreso,Operativo,Nomina Core Team,-25000.0
2024-09-01,202,5800.0,Egreso,Operativo,Infraestructura Cloud (AWS/GCP),-5800.0
2024-09-01,203,2800.0,Egreso,Operativo,Herramientas SaaS (Hubspot/Slack),-2800.0
2024-09-01,204,9500.0,Egreso,Marketing,Paid Media (Google/Meta Ads),-9500.0
2024-09-01,205,3500.0,Egreso,Marketing,Agencia & Diseño,-3500.0
2024-09-01,206,1500.0,Egreso,Administrativo,Legal & Contabilidad,-1500.0
2024-09-01,207,1350.0,Egreso,Administrativo,Oficina & Suministros,-1350.0
2024-10-01,101,40200.0,Ingreso,Operativo,SaaS Monthly Subscription,40200.0
2024-10-01,102,22000.0,Ingreso,Operativo,SaaS Enterprise Annual,22000.0
2024-10-01,103,5500.0,Ingreso,No Operativo,Consultoria Especializada,5500.0
2024-10-01,104,530.0,Ingreso,No Operativo,Rendimientos Financieros,530.0
2024-10-01,201,25000.0,Egreso,Operativo,Nomina Core Team,-25000.0
2024-10-01,202,6100.0,Egreso,Operativo,Infraestructura Cloud (AWS/GCP),-6100.0
2024-10-01,203,2850.0,Egreso,Operativo,Herramientas SaaS (Hubspot/Slack),-2850.0
2024-10-01,204,11000.0,Egreso,Marketing,Paid Media (Google/Meta Ads),-11000.0
2024-10-01,205,3500.0,Egreso,Marketing,Agencia & Diseño,-3500.0
2024-10-01,206,1600.0,Egreso,Administrativo,Legal & Contabilidad,-1600.0
2024-10-01,207,1600.0,Egreso,Administrativo,Oficina & Suministros,-1600.0
2024-11-01,101,43000.0,Ingreso,Operativo,SaaS Monthly Subscription,43000.0
2024-11-01,102,22000.0,Ingreso,Operativo,SaaS Enterprise Annual,22000.0
2024-11-01,103,7200.0,Ingreso,No Operativo,Consultoria Especializada,7200.0
2024-11-01,104,590.0,Ingreso,No Operativo,Rendimientos Financieros,590.0
2024-11-01,201,25000.0,Egreso,Operativo,Nomina Core Team,-25000.0
2024-11-01,202,6400.0,Egreso,Operativo,Infraestructura Cloud (AWS/GCP),-6400.0
2024-11-01,203,2900.0,Egreso,Operativo,Herramientas SaaS (Hubspot/Slack),-2900.0
2024-11-01,204,12500.0,Egreso,Marketing,Paid Media (Google/Meta Ads),-12500.0
2024-11-01,205,3500.0,Egreso,Marketing,Agencia & Diseño,-3500.0
2024-11-01,206,1500.0,Egreso,Administrativo,Legal & Contabilidad,-1500.0
2024-11-01,207,1800.0,Egreso,Administrativo,Oficina & Suministros,-1800.0
2024-12-01,101,45800.0,Ingreso,Operativo,SaaS Monthly Subscription,45800.0
2024-12-01,102,30000.0,Ingreso,Operativo,SaaS Enterprise Annual,30000.0
2024-12-01,103,11000.0,Ingreso,No Operativo,Consultoria Especializada,11000.0
2024-12-01,104,620.0,Ingreso,No Operativo,Rendimientos Financieros,620.0
2024-12-01,201,28000.0,Egreso,Operativo,Nomina Core Team,-28000.0
2024-12-01,202,6900.0,Egreso,Operativo,Infraestructura Cloud (AWS/GCP),-6900.0
2024-12-01,203,3100.0,Egreso,Operativo,Herramientas SaaS (Hubspot/Slack),-3100.0
2024-12-01,204,14000.0,Egreso,Marketing,Paid Media (Google/Meta Ads),-14000.0
2024-12-01,205,4000.0,Egreso,Marketing,Agencia & Diseño,-4000.0
2024-12-01,206,2200.0,Egreso,Administrativo,Legal & Contabilidad,-2200.0
2024-12-01,207,2500.0,Egreso,Administrativo,Oficina & Suministros,-2500.0
2025-01-01,101,44000.0,Ingreso,Operativo,SaaS Monthly Subscription,44000.0
2025-01-01,102,30000.0,Ingreso,Operativo,SaaS Enterprise Annual,30000.0
2025-01-01,103,3000.0,Ingreso,No Operativo,Consultoria Especializada,3000.0
2025-01-01,104,600.0,Ingreso,No Operativo,Rendimientos Financieros,600.0
2025-01-01,201,28000.0,Egreso,Operativo,Nomina Core Team,-28000.0
2025-01-01,202,6500.0,Egreso,Operativo,Infraestructura Cloud (AWS/GCP),-6500.0
2025-01-01,203,3200.0,Egreso,Operativo,Herramientas SaaS (Hubspot/Slack),-3200.0
2025-01-01,204,9000.0,Egreso,Marketing,Paid Media (Google/Meta Ads),-9000.0
2025-01-01,205,3000.0,Egreso,Marketing,Agencia & Diseño,-3000.0
2025-01-01,206,1500.0,Egreso,Administrativo,Legal & Contabilidad,-1500.0
2025-01-01,207,1300.0,Egreso,Administrativo,Oficina & Suministros,-1300.0
2025-02-01,101,46500.0,Ingreso,Operativo,SaaS Monthly Subscription,46500.0
2025-02-01,102,30000.0,Ingreso,Operativo,SaaS Enterprise Annual,30000.0
2025-02-01,103,4500.0,Ingreso,No Operativo,Consultoria Especializada,4500.0
2025-02-01,104,640.0,Ingreso,No Operativo,Rendimientos Financieros,640.0
2025-02-01,201,28000.0,Egreso,Operativo,Nomina Core Team,-28000.0
2025-02-01,202,6700.0,Egreso,Operativo,Infraestructura Cloud (AWS/GCP),-6700.0
2025-02-01,203,3250.0,Egreso,Operativo,Herramientas SaaS (Hubspot/Slack),-3250.0
2025-02-01,204,9500.0,Egreso,Marketing,Paid Media (Google/Meta Ads),-9500.0
2025-02-01,205,3000.0,Egreso,Marketing,Agencia & Diseño,-3000.0
2025-02-01,206,1500.0,Egreso,Administrativo,Legal & Contabilidad,-1500.0
2025-02-01,207,1400.0,Egreso,Administrativo,Oficina & Suministros,-1400.0
2025-03-01,101,49100.0,Ingreso,Operativo,SaaS Monthly Subscription,49100.0
2025-03-01,102,35000.0,Ingreso,Operativo,SaaS Enterprise Annual,35000.0
2025-03-01,103,6000.0,Ingreso,No Operativo,Consultoria Especializada,6000.0
2025-03-01,104,710.0,Ingreso,No Operativo,Rendimientos Financieros,710.0
2025-03-01,201,32000.0,Egreso,Operativo,Nomina Core Team,-32000.0
2025-03-01,202,7100.0,Egreso,Operativo,Infraestructura Cloud (AWS/GCP),-7100.0
2025-03-01,203,3500.0,Egreso,Operativo,Herramientas SaaS (Hubspot/Slack),-3500.0
2025-03-01,204,11000.0,Egreso,Marketing,Paid Media (Google/Meta Ads),-11000.0
2025-03-01,205,3500.0,Egreso,Marketing,Agencia & Diseño,-3500.0
2025-03-01,206,1800.0,Egreso,Administrativo,Legal & Contabilidad,-1800.0
2025-03-01,207,1650.0,Egreso,Administrativo,Oficina & Suministros,-1650.0
2025-04-01,101,52000.0,Ingreso,Operativo,SaaS Monthly Subscription,52000.0
2025-04-01,102,35000.0,Ingreso,Operativo,SaaS Enterprise Annual,35000.0
2025-04-01,103,5000.0,Ingreso,No Operativo,Consultoria Especializada,5000.0
2025-04-01,104,750.0,Ingreso,No Operativo,Rendimientos Financieros,750.0
2025-04-01,201,32000.0,Egreso,Operativo,Nomina Core Team,-32000.0
2025-04-01,202,7300.0,Egreso,Operativo,Infraestructura Cloud (AWS/GCP),-7300.0
2025-04-01,203,3600.0,Egreso,Operativo,Herramientas SaaS (Hubspot/Slack),-3600.0
2025-04-01,204,11500.0,Egreso,Marketing,Paid Media (Google/Meta Ads),-11500.0
2025-04-01,205,3500.0,Egreso,Marketing,Agencia & Diseño,-3500.0
2025-04-01,206,1500.0,Egreso,Administrativo,Legal & Contabilidad,-1500.0
2025-04-01,207,1500.0,Egreso,Administrativo,Oficina & Suministros,-1500.0
2025-05-01,101,55300.0,Ingreso,Operativo,SaaS Monthly Subscription,55300.0
2025-05-01,102,35000.0,Ingreso,Operativo,SaaS Enterprise Annual,35000.0
2025-05-01,103,8500.0,Ingreso,No Operativo,Consultoria Especializada,8500.0
